id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
122,45,5,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,3,55,,,Y,,,,,,,,,,Y,,,Y,
123,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO05,Y,,,,,,,,,,,,,3,74,,,Y,,,,,Y,,,,,,Y,,,
124,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,3,65,,,Y,,,,,Y,,,,,,,Y,,
125,41,7,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
126,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,N,,,,,,,,,,3,40,Y,,,,,,Y,,,,,,,Y,,,
127,45,4,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,36,,,Y,,,,,,,,,,Y,,,Y,
128,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,3,27,Y,,,,,,Y,,,,,,,,,Y,
129,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,63,,,Y,,,,Y,,,,,,,Y,,,
130,45,1,Y,AO01,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,,Y,,,,,Y,,,,,,,,Y,
131,45,6,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,,,,,,,,,,,,,3,64,Y,,,,,,,,,,,,Y,,,Y,
132,45,1,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,Y,,,,,Y,,,,,,,,Y,,,
133,45,7,,,,,,,,,,,,,,,,,,,Y,AO04,N,,,,,,,,,,,,,,,,3,41,,,Y,,,,Y,,,,,,,,,Y,
134,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,65,Y,,,,,Y,,,,,,,,,,Y,
135,45,6,,,,,,,,,,,,,,,,N,AO06,N,,,,,,,,,,,,,,,,,,,3,72,,,Y,,,,,Y,,,,,,Y,,,
136,45,1,Y,AO03,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,Y,,Y,,,,Y,,,,,,,Y,,,
137,45,7,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,3,66,Y,,,,,Y,,,,,,,,,,Y,
138,45,2,,,,Y,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,,,Y,,,,Y,,,,,,,Y,,,
139,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,3,53,,,Y,,,,,,,,,,Y,,,Y,
140,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,3,46,,,Y,,,,,,,,Y,,,,,Y,
141,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,3,46,Y,,,,,,,Y,,,,,,,,Y,
142,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,3,27,,,Y,,,,,Y,,,,,,Y,,,
143,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,33,Y,,,,,,,,,,Y,,,Y,,,
145,45,5,,,,,,,,,,,,,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,3,40,Y,,,,,Y,,,,,,,,,,Y,
146,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,3,50,Y,,,,,Y,,,,,,,,Y,,,
147,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,64,Y,,,,,Y,,,,,,,,Y,,,
148,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,28,,,Y,,,,,Y,,,,,,,,Y,
149,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,Y,,,,3,57,Y,,,,,Y,,,,,,,Y,,,Y,
150,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO02,Y,,,,,,,,,,3,71,Y,,,,,,Y,,,,,,,Y,,,
151,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
